uid, format_version, puid, format, mimetype, size, creating_application_name, lastmodified, created, checksum_md5, lastmodified_fs, original, wellformed, valid, byteorder, title, charset, author, compression_scheme, pagecount, markupbasis, is_tagged, image_width, has_outline, markupBasisVersion, has_annotations, image_height, is_rightsmanaged, is_protected, has_forms, colorspace, YCbCrSubSampling, sampling_frequency_unit, sampling_frequency_x, sampling_frequency_y, bitspersample, samplesperpixel, lightsource, referenceBlackWhite, orientation, scanner_softwarename, linebreak, icc_profile_name, icc_profile_version, message, bit_depth, samplerate, channels, audio_dataencoding, offset, language, wordcount, charactercount, tablecount, graphicsCount, 
http://demo.roda-community.org/roda-core/get/roda:154/F1, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:09:40 CEST 2012, , 6be70fa836494123fb810fa71c813b6d, Mon Jul 02 11:09:40 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 72.0, 72.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:162/F2, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 288829, , Mon Jul 02 11:09:21 CEST 2012, , 8b2ce1c59b647183e6c7d9630c322337, Mon Jul 02 11:09:21 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:162/F3, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 279677, , Mon Jul 02 11:09:24 CEST 2012, , a15d1397ebe5de2a61bb3b60ce76e71f, Mon Jul 02 11:09:24 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:162/F1, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 354781, , Mon Jul 02 11:09:18 CEST 2012, , c065ee24cbf6a1061e23cd6d84cf735f, Mon Jul 02 11:09:18 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:162/F4, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 323321, , Mon Jul 02 11:09:27 CEST 2012, , 63e5dc35a8d3262cd2ce5a91e5318bdc, Mon Jul 02 11:09:27 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:162/F5, 1.02, fmt/44, JPEG File Interchange Format, image/jpeg, 299964, , Mon Jul 02 11:09:31 CEST 2012, , 81c82a1b6378689114935ca3ba94cd1e, Mon Jul 02 11:09:31 CEST 2012, true, true, true, big endian, , , , JPEG (old-style), , , , 1280, , , , 1024, , , , YCbCr, 1 1, no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, unknown, , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:165/F0, 1.0, fmt/101, Extensible Markup Language, text/xml, 835, , Mon Jul 02 11:08:42 CEST 2012, , 50749a445d72a11a3a8a2eac032667ae, Mon Jul 02 11:08:42 CEST 2012, false, true, true, , , UTF-8, , , , XML, , , , 1.0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:165/F2, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:08:55 CEST 2012, , 8b1d7f34e5259726df53535d6fb54205, Mon Jul 02 11:08:55 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:165/F3, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:09:02 CEST 2012, , 55bc326e9feced3470958425f374e804, Mon Jul 02 11:09:02 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
http://demo.roda-community.org/roda-core/get/roda:165/F4, CONFLICT, fmt/10, Tagged Image File Format, image/tiff, 3936613, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, Mon Jul 02 11:09:07 CEST 2012, , 04a5a54f4d7f5adcf7fc7a6d34448367, Mon Jul 02 11:09:07 CEST 2012, false, true, true, little endian, , , , Uncompressed, , , , 1280, , , , 1024, , , , RGB, , no absolute unit of measurement, 100.0, 100.0, 8 8 8, 3, , 0.0 255.0 0.0 255.0 0.0 255.0, normal*, ImageMagick 6.4.5 2009-01-22 Q16 OpenMP http://www.imagemagick.org, , , , , , , , , , , , , , , 
